Graph_File,Graph_Type,Vertices,Edges,Space_Complexity,Actual_Max_Flow,Computation_Time_Seconds
FixedDegree/fixed_v153_deg8_14.txt,FixedDegree,155,1240,O(155+1240),326,0.000000
FixedDegree/fixed_v158_deg8_31.txt,FixedDegree,160,1280,O(160+1280),179,0.414096
FixedDegree/fixed_v167_deg9_26.txt,FixedDegree,169,1521,O(169+1521),430,0.000000
FixedDegree/fixed_v169_deg9_30.txt,FixedDegree,171,1539,O(171+1539),779,0.007679
FixedDegree/fixed_v169_deg9_4.txt,FixedDegree,171,1539,O(171+1539),549,0.008241
FixedDegree/fixed_v172_deg3_29.txt,FixedDegree,174,522,O(174+522),90,0.278011
FixedDegree/fixed_v174_deg10_36.txt,FixedDegree,176,1760,O(176+1760),538,0.602900
FixedDegree/fixed_v181_deg8_33.txt,FixedDegree,183,1464,O(183+1464),687,0.612017
FixedDegree/fixed_v182_deg8_37.txt,FixedDegree,184,1472,O(184+1472),150,0.547819
FixedDegree/fixed_v185_deg8_45.txt,FixedDegree,187,1496,O(187+1496),666,0.006012
FixedDegree/fixed_v186_deg4_15.txt,FixedDegree,188,752,O(188+752),250,0.006808
FixedDegree/fixed_v188_deg8_50.txt,FixedDegree,190,1520,O(190+1520),1192,0.013464
FixedDegree/fixed_v190_deg10_46.txt,FixedDegree,192,1920,O(192+1920),1129,0.680629
FixedDegree/fixed_v192_deg4_42.txt,FixedDegree,194,776,O(194+776),618,0.369297
FixedDegree/fixed_v195_deg5_22.txt,FixedDegree,197,985,O(197+985),342,0.009611
FixedDegree/fixed_v195_deg5_6.txt,FixedDegree,197,985,O(197+985),245,0.451646
FixedDegree/fixed_v198_deg9_13.txt,FixedDegree,200,1800,O(200+1800),600,0.599358
FixedDegree/fixed_v200_deg3_20.txt,FixedDegree,202,606,O(202+606),147,0.000000
FixedDegree/fixed_v21_deg4_11.txt,FixedDegree,23,92,O(23+92),140,0.013468
FixedDegree/fixed_v21_deg7_43.txt,FixedDegree,23,161,O(23+161),328,0.001073
FixedDegree/fixed_v21_deg7_49.txt,FixedDegree,23,161,O(23+161),948,0.000734
FixedDegree/fixed_v22_deg3_38.txt,FixedDegree,24,72,O(24+72),264,0.000000
FixedDegree/fixed_v30_deg6_9.txt,FixedDegree,32,192,O(32+192),401,0.014549
FixedDegree/fixed_v57_deg9_28.txt,FixedDegree,59,531,O(59+531),417,0.095625
FixedDegree/fixed_v58_deg6_34.txt,FixedDegree,60,360,O(60+360),654,0.006173
FixedDegree/fixed_v58_deg9_41.txt,FixedDegree,60,540,O(60+540),203,0.008233
FixedDegree/fixed_v60_deg10_32.txt,FixedDegree,62,620,O(62+620),1238,0.081450
FixedDegree/fixed_v60_deg4_1.txt,FixedDegree,62,248,O(62+248),440,0.000000
FixedDegree/fixed_v63_deg10_8.txt,FixedDegree,65,650,O(65+650),661,0.007046
FixedDegree/fixed_v76_deg7_18.txt,FixedDegree,78,546,O(78+546),317,0.090407
FixedDegree/fixed_v78_deg3_19.txt,FixedDegree,80,240,O(80+240),344,0.004186
FixedDegree/fixed_v78_deg6_27.txt,FixedDegree,80,480,O(80+480),106,0.000000
FixedDegree/fixed_v80_deg3_25.txt,FixedDegree,82,246,O(82+246),248,0.053259
FixedDegree/fixed_v80_deg7_39.txt,FixedDegree,82,574,O(82+574),430,0.000000
FixedDegree/fixed_v83_deg9_3.txt,FixedDegree,85,765,O(85+765),674,0.000000
FixedDegree/fixed_v89_deg4_10.txt,FixedDegree,91,364,O(91+364),110,0.002184
FixedDegree/fixed_v91_deg8_12.txt,FixedDegree,93,744,O(93+744),1010,0.157847
FixedDegree/fixed_v92_deg3_35.txt,FixedDegree,94,282,O(94+282),96,0.080974
FixedDegree/fixed_v94_deg7_5.txt,FixedDegree,96,672,O(96+672),772,0.231372
